中科宏一教育科技集团有限公司,中科宏一,150-500人,未融资,东城区,高级java后端开发工程师,5-10年,本科,25k-40k,智慧校园、发展空间大、优秀团队、五险一金
秒针信息技术有限公司,明略科技集团,2000人以上,D轮及以上,朝阳区,Java-leader,不限,不限,30k-40k,E+轮，专注大数据&amp;AI领域，6天全新病假
小米科技有限责任公司,小米集团,2000人以上,上市公司,海淀区,高级JAVA开发工程师-印度港...,3-5年,本科,25k-45k,500强公司
北京广通优云科技股份有限公司杭州分公司,广通优云,500-2000人,上市公司,海淀区,高级java开发工程师,5-10年,本科,20k-30k,五险一金补助节日福利年终奖金体检
上海任意门科技有限公司,Soul,2000人以上,D轮及以上,海淀区,资深Java开发/架构（风控方向）,5-10年,不限,35k-50k,股票期权
上海任意门科技有限公司,Soul,2000人以上,D轮及以上,海淀区,java开发工程师（广告）,不限,本科,25k-50k,带薪年假
北京群鲜荟萃科技有限公司,十荟团,2000人以上,D轮及以上,朝阳区,java架构师,不限,本科,35k-60k,发展前景好
戴尔（中国）有限公司,戴尔,2000人以上,不需要融资,海淀区,Java测试工程师,5-10年,本科,20k-35k,工作生活平衡
晶栅科技（北京）有限公司,晶栅科技,15-50人,天使轮,海淀区,java后端开发工程师,3-5年,本科,15k-30k,专注于半导体行业的数据科技公司
北京爱看爱秀教育科技有限公司,爱看爱秀,15-50人,未融资,大兴区,java开发工程师,1-3年,本科,10k-15k,生日卡、节日礼包、国内外旅游、工作居住证
用友网络科技股份有限公司,用友,2000人以上,上市公司,海淀区,Java系统架构师,5-10年,本科,30k-60k,业务营收好，每月不晚于5号发薪，2个月年终奖
北京嘀嘀无限科技发展有限公司,滴滴,2000人以上,不需要融资,海淀区,高级java开发工程师,5-10年,本科,30k-50k,发展 平台 团队 福利
北京希瑞亚斯科技有限公司,Moka,150-500人,B轮,海淀区,资深java开发工程师,不限,本科,35k-60k,明星产品、晋升空间、大牛团队、期权股票
北京联合天成价值网络科技有限公司,联合天成,15-50人,A轮,西城区,初级java工程师,不限,本科,8k-15k,免费下午茶，工作表现优秀者可解决北京户口
北京必示科技有限公司,必示科技,150-500人,B轮,海淀区,java技术专家,10年以上,本科,30k-60k,分布式
北京容联易通信息技术有限公司,容联云通讯,500-2000人,上市公司,朝阳区,高级Java开发,5-10年,本科,20k-40k,六险一金+团队年轻化
仕佳（武汉）信息咨询有限公司,仕佳,150-500人,未融资,朝阳区,Java开发工程师（电商、OTA,3-5年,本科,20k-35k,发展好 大厂背景
波塔斯（北京）科技有限公司,Travel-X,15-50人,A轮,东城区,JAVA开发工程师,1-3年,本科,10k-15k,周末双休；发展空间大；行业前景好；工作环境佳
蓝信移动（北京）科技有限公司,蓝信移动（北京）科技有限公司,150-500人,B轮,朝阳区,java开发工程师,3-5年,本科,15k-30k,扁平管理 带薪病假 年度体检 大牛团队
